Cod  m2  C. Nombre Propietario                       Cuotas         Informacion Adicional                   
------------------------------------------------------------------------------------------------------------
0-A   80 03 Nestor Crespo                            8%E            Banco Mundial,Banca
0-B   90 03 Nestor Crespo                            9%E            Hercules,Seguros
1-A   90 03 Nestor Crespo                            12%C,9%E       Viv. Habitual, 2 dorm.
0-C   90 03 Nestor Crespo                            9%E            Caprabo,Alimentacion
1-B  100 03 Nestor Crespo                            14%C,10%E      Viv. Habitual, 3 dorm.
2-A  150 03 Nestor Crespo                            20%C,15%E      Viv. Habitual, 4 dorm.
1-C  100 03 Nestor Crespo                            14%C,10%E      Viv. No Habitual, 3 dorm.
2-B  150 03 Nestor Crespo                            20%C,15%E      Viv. Habitual, 4 dorm.
2-C  150 03 Nestor Crespo                            20%C,15%E      Viv. No Habitual, 4 dorm.
P10   15 03 Nestor Crespo                            10%G           Cerrada, Sin dep�sito
P01   12 03 Nestor Crespo                            10%G           Abierta, Sin dep�sito
P03   15 03 Nestor Crespo                            10%G           Abierta, Sin dep�sito
P02   12 03 Nestor Crespo                            10%G           Abierta, Sin dep�sito
P05   15 03 Nestor Crespo                            10%G           Abierta, Sin dep�sito
P04   15 03 Nestor Crespo                            10%G           Abierta, Sin dep�sito
P07   15 03 Nestor Crespo                            10%G           Cerrada, Sin dep�sito
P06   15 03 Nestor Crespo                            10%G           Cerrada, Sin dep�sito
P09   15 03 Nestor Crespo                            10%G           Cerrada, Sin dep�sito
P08   15 03 Nestor Crespo                            10%G           Cerrada, Sin dep�sito
------------------------------------------------------------------------------------------------------------
19 propiedades total
